Iterações,Erro_Relativo
0,inf
1,22.206572769953056
2,-9.304260282931159
3,-1.2885192307939564
4,-0.16919782782566747
5,-0.022052516629706767
6,-0.0028714121554005907
7,-0.0003738327799613475
8,-4.8668952108430605e-05
