Iterações,Erro_Relativo
0,inf
1,65.26218735378288
2,-13.221583031236184
3,-4.413659202739177
4,-1.4665815543004361
5,-0.48663885882753294
6,-0.1614036338122297
7,-0.0535249542775264
8,-0.017749181386851946
9,-0.005885636081274753
10,-0.001951669078494538
11,-0.0006471697274436675
12,-0.00021460011675323575
13,-7.116093238251819e-05
